CONTRACT_REFERENCE,STATUS,LOAN_TYPE,END_DATE,MATURITY_DATE,QUARTER,CUMULATIVE_AMOUNT_PAID,NOMINAL_CONTRACT_VALUE,STATE,COUNTY
C37840014,Active,INDIVIDUAL,2022-02-04,2021-10-07,4,61.0,119.0,5071,5118
C41540014,Active,INDIVIDUAL,2022-01-26,2021-09-28,3,3355.43,6046.43,5071,5118
C41870015,Active,INDIVIDUAL,2022-02-03,2021-10-06,4,3135.0,5678.0,5071,5118
C42500017,Active,INDIVIDUAL,2022-01-30,2021-10-02,4,4286.0,5844.0,5071,5118
C42610014,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,5798.0,7736.0,5069,5117
C42710012,Active,INDIVIDUAL,2022-02-05,2021-10-08,4,10258.0,10262.0,5069,5117
C42730010,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,5528.0,10283.0,5069,5117
C42790014,Active,INDIVIDUAL,2022-02-02,2021-10-05,4,5898.0,7398.0,5069,5117
C42800011,Active,INDIVIDUAL,2022-02-05,2021-10-08,4,10158.0,10162.0,5069,5117
C43090018,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,5628.0,10262.0,5069,5117
C43100015,Active,INDIVIDUAL,2022-02-02,2021-10-05,4,9037.82,9568.82,5069,5117
C43120013,Active,INDIVIDUAL,2022-02-03,2021-10-06,4,10158.0,10162.0,5069,5117
C43270016,Active,INDIVIDUAL,2022-02-08,2021-10-11,4,6118.0,9287.0,5069,5117
C43320019,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5438.0,5459.0,5069,5117
C43440015,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,5528.0,10290.0,5069,5117
C43450014,Active,INDIVIDUAL,2022-02-01,2021-10-04,4,6498.0,8498.0,5071,5118
C43540012,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,3158.0,5831.0,5069,5117
C43670017,Active,INDIVIDUAL,2022-02-08,2021-10-11,4,5738.0,9036.0,5069,5117
C44340016,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,3158.0,4007.0,5069,5117
C44360014,Active,INDIVIDUAL,2022-02-01,2021-10-04,4,4798.0,7768.0,5069,5117
C44460012,Active,INDIVIDUAL,2022-02-06,2021-10-09,4,10158.0,10162.0,5069,5117
C44470011,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,4211.87,7117.87,5069,5117
C44510014,Active,INDIVIDUAL,2022-02-07,2021-10-10,4,3118.0,5753.0,5069,5117
C44620011,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,9214.0,9847.0,5071,5118
C44770014,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,4978.0,9155.0,5069,5117
C44910016,Active,INDIVIDUAL,2022-02-07,2021-10-10,4,5748.12,9642.12,5069,5117
C45050010,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,2218.12,3865.12,5069,5117
C45090016,Active,INDIVIDUAL,2022-02-05,2021-10-08,4,5753.0,7134.0,5069,5117
C45120011,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,4882.0,6250.0,5071,5118
C45130010,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,6247.94,10690.94,5069,5117
C45160017,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,7661.0,10909.0,5071,5118
C45230018,Active,INDIVIDUAL,2022-02-02,2021-10-05,4,3031.0,3857.0,5071,5118
C45280013,Completed,GROUP LOAN,2022-02-12,2022-03-14,1,10192.0,10192.0,5070,5119
C45320017,Active,GROUP LOAN,2022-02-12,2022-03-14,1,1979.0,8357.0,5070,5119
C45500014,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,5939.75,11126.75,5069,5117
C45540010,Completed,GROUP LOAN,2022-02-14,2022-03-16,1,10192.0,10192.0,5070,5119
C45620010,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,5213.0,7896.0,5071,5118
C45880010,Active,INDIVIDUAL,2022-02-02,2021-10-05,4,10258.0,10262.0,5069,5117
C45930013,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,8087.0,8718.0,5071,5118
C45960010,Active,INDIVIDUAL,2022-02-05,2021-10-08,4,7283.0,9573.0,5071,5118
C46290011,Active,INDIVIDUAL,2022-02-01,2021-10-04,4,2243.0,3807.0,5069,5117
C46370011,Active,INDIVIDUAL,2022-02-06,2021-10-09,4,3908.0,5933.0,5069,5117
C46430013,Active,INDIVIDUAL,2022-02-02,2021-10-05,4,5588.0,10401.0,5069,5117
C46500013,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,4938.0,8318.0,5069,5117
C46630018,Active,INDIVIDUAL,2022-02-02,2021-10-05,4,8752.96,8852.96,5071,5118
C46650016,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,8888.0,10401.0,5069,5117
C46690012,Active,INDIVIDUAL,2022-02-05,2021-10-08,4,10086.96,10521.96,5071,5118
C46760013,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,8528.0,9422.0,5069,5117
C46840013,Completed,INDIVIDUAL,2022-02-05,2021-10-08,4,9765.96,9765.96,5071,5118
C47100011,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,3563.27,4806.27,5069,5117
C47390018,Active,INDIVIDUAL,2022-02-08,2021-10-11,4,5977.0,8939.0,5071,5118
C47530019,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,4943.37,5194.37,5071,5118
C47890017,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,8048.0,8052.0,5069,5117
C48260012,Active,INDIVIDUAL,2022-02-10,2021-10-13,4,3458.24,6355.24,5071,5118
C48460018,Active,INDIVIDUAL,2022-02-03,2021-10-06,4,5598.0,10315.0,5069,5117
C48560015,Active,INDIVIDUAL,2022-02-05,2021-10-08,4,5588.0,8084.0,5069,5117
C49700016,Active,GROUP LOAN,2022-02-06,2022-03-08,1,11301.0,11332.0,5070,5119
C49710015,Completed,GROUP LOAN,2022-02-06,2022-03-08,1,11332.0,11332.0,5070,5119
C49940018,Active,INDIVIDUAL,2022-02-08,2021-10-11,4,2198.0,3855.0,5069,5117
C49980014,Active,GROUP LOAN,2022-02-07,2022-03-09,1,670.0,1717.0,5069,5117
C50100015,Completed,INDIVIDUAL,2022-02-06,2021-10-09,4,8874.21,8874.21,5071,5118
C50260017,Active,GROUP LOAN,2022-02-05,2022-03-07,1,800.0,3927.0,5071,5118
C50320019,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5208.0,6842.0,5069,5117
C50770015,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,10265.0,12405.0,5071,5118
C51020014,Active,INDIVIDUAL,2022-02-07,2021-10-10,4,7588.0,9245.0,5069,5117
C51350015,Active,INDIVIDUAL,2022-02-05,2021-10-08,4,3181.0,3639.0,5071,5118
C51360014,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5817.0,10385.0,5071,5118
C51420016,Active,INDIVIDUAL,2022-02-08,2021-10-11,4,6978.0,8579.0,5069,5117
C51460012,Active,INDIVIDUAL,2022-02-07,2021-10-10,4,10158.0,10162.0,5069,5117
C51570018,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,8578.0,8738.0,5069,5117
C51680015,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,5178.0,7476.0,5069,5117
C51740017,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,10158.0,10162.0,5069,5117
C51760015,Active,INDIVIDUAL,2022-02-05,2021-10-08,4,7208.0,11417.0,5069,5117
C52040011,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,5588.0,9723.0,5069,5117
C52180015,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,10307.0,12285.0,5071,5118
C52620010,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,5528.0,10283.0,5069,5117
C53030011,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,9035.49,9433.49,5069,5117
C53150017,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,3329.0,4787.0,5069,5117
C53310017,Active,INDIVIDUAL,2022-02-06,2021-10-09,4,5528.0,10283.0,5069,5117
C53670014,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,5728.0,10288.0,5069,5117
C53720017,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,2198.0,3835.0,5069,5117
C53830014,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,4358.0,5342.0,5069,5117
C53890018,Completed,INDIVIDUAL,2022-02-08,2021-10-11,4,8501.0,8501.0,5069,5117
C54020011,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,6038.0,10605.0,5069,5117
C54390018,Completed,GROUP LOAN,2022-02-13,2022-03-15,1,10192.0,10192.0,5070,5119
C54540018,Completed,GROUP LOAN,2022-02-12,2022-03-14,1,5557.0,5557.0,5070,5119
C55130017,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,7728.0,8703.0,5069,5117
C55220016,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,4978.0,7717.0,5069,5117
C55270011,Active,GROUP LOAN,2022-02-13,2022-03-15,1,7360.0,7691.27,5070,5119
C55480016,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,1628.0,2540.0,5069,5117
C55560015,Active,GROUP LOAN,2022-02-13,2022-03-15,1,7597.9,10024.67,5070,5119
C56140015,Completed,GROUP LOAN,2022-02-13,2022-03-15,1,2737.24,2737.24,5068,5120
C56390016,Active,INDIVIDUAL,2022-02-07,2021-10-10,4,2827.24,4098.24,5071,5118
C57010019,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,8048.0,8052.0,5069,5117
C57070013,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,3158.0,3954.0,5069,5117
C57100018,Active,INDIVIDUAL,2022-02-07,2021-10-10,4,4908.0,6922.0,5071,5118
C57210015,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,7438.0,9972.0,5068,5120
C57270019,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,3107.0,3147.0,5069,5117
C58690017,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,3118.0,5237.0,5069,5117
C58720012,Active,INDIVIDUAL,2022-02-11,2021-10-14,4,6899.0,8139.0,5069,5117
C58970013,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,5528.0,9180.0,5069,5117
C59110015,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,6236.71,9765.71,5069,5117
C59520015,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,5796.71,10466.71,5069,5117
C59610014,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,10258.0,10262.0,5069,5117
C60460011,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,5528.0,10278.0,5069,5117
C60490018,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5528.0,10278.0,5069,5117
C60510013,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5528.0,10262.0,5069,5117
C60570017,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5528.0,8859.0,5069,5117
